source_row_number,source_sheet_name,Unnamed: 2,pinyin,MC (NWH),MC (B&S),GSR,漢語大字典,廣韻,Unnamed: 9,normalized_character,normalized_pinyin,normalized_mc_nwh,normalized_mc_bs,normalized_gsr,normalized_hanyu_dazidian,normalized_guangyun
121,Feuil1,阤,zhi4,ḍieX,drjeX,0004z,64116.020,244.13 245.44,13,阤,zhi4,ḍieX,drjeX,0004z,64116.020,244.13 245.44
122,Feuil1,左,zuo3,tsaH,tsaH,0005a,10411.050,305.11 419.15,13,左,zuo3,tsaH,tsaH,0005a,10411.050,305.11 419.15
123,Feuil1,左,zuo3,tsaX,tsaX,0005a,10411.050,305.11 419.15,13,左,zuo3,tsaX,tsaX,0005a,10411.050,305.11 419.15
124,Feuil1,佐,zuo3,tsaH,tsaH,0005e,10130.060,419.14,6,佐,zuo3,tsaH,tsaH,0005e,10130.060,419.14
125,Feuil1,差,chai1,tsha,tsha,0005f,10413.040,048.23 093.45 095.19 167.42 383.56,34,差,chai1,tsha,tsha,0005f,10413.040,048.23 093.45 095.19 167.42 383.56
126,Feuil1,差,chai1,tṣhae,tsrhae,0005f,10413.040,048.23 093.45 095.19 167.42 383.56,34,差,chai1,tṣhae,tsrhae,0005f,10413.040,048.23 093.45 095.19 167.42 383.56
127,Feuil1,差,ci1,tṣhea,tsrhea,0005f,10413.040,048.23 093.45 095.19 167.42 383.56,34,差,ci1,tṣhea,tsrhea,0005f,10413.040,048.23 093.45 095.19 167.42 383.56
128,Feuil1,差,ci1,tṣhie,tsrhje,0005f,10413.040,048.23 093.45 095.19 167.42 383.56,34,差,ci1,tṣhie,tsrhje,0005f,10413.040,048.23 093.45 095.19 167.42 383.56
129,Feuil1,槎,cha2,dẓae,dzrae,0005h,21255.020,169.21 309.43,13,槎,cha2,dẓae,dzrae,0005h,21255.020,169.21 309.43
130,Feuil1,槎,cha2,dẓaeX,dzraeX,0005h,21255.020,169.21 309.43,13,槎,cha2,dẓaeX,dzraeX,0005h,21255.020,169.21 309.43
131,Feuil1,瑳,cuo3,tshaX,tshaX,0005i,21128.060,159.13 304.06,13,瑳,cuo3,tshaX,tshaX,0005i,21128.060,159.13 304.06
132,Feuil1,磋,cuo1,tsha,tsha,0005j,42445.040,159.15 421.18,13,磋,cuo1,tsha,tsha,0005j,42445.040,159.15 421.18
