gsc_id,rhyme_section,series_number,schuessler_k_tokens,schuessler_source_page,schuessler_cross_reference_only,in_tex,tex_character_count,tex_characters_sample,mand2mc_row_count,mand2mc_character_count,mand2mc_characters_sample,bs_gsr_row_count,bs_gsr_character_count,bs_gsr_characters_sample,combined_source_character_count,combined_source_characters_sample
03-16,3,16,714,102,no,no,0,,14,9,皀; 鄉; 嚮; 饗; 曏; 膷; 薌; 響; 卿,14,9,皀; 鄉; 嚮; 饗; 曏; 膷; 薌; 響; 卿,9,皀; 鄉; 嚮; 饗; 曏; 膷; 薌; 響; 卿
03-17,3,17,716,103,no,no,0,,4,2,享; 亨,5,2,享; 亨,2,享; 亨
03-18,3,18,715,103,no,no,0,,2,2,向; 餉,1,1,餉,2,向; 餉
03-19,3,19,717,103,no,no,0,,1,1,香,1,1,香,1,香
03-20,3,20,718,103,no,no,0,,12,9,央; 佒; 怏; 殃; 鞅; 泱; 鴦; 盎; 英,5,4,央; 殃; 鴦; 英,9,央; 佒; 怏; 殃; 鞅; 泱; 鴦; 盎; 英
03-21,3,21,756,104,no,no,0,,1,1,影,1,1,影,1,影
03-22,3,22,706,104,no,no,0,,7,6,光; 洸; 絖; 侊; 觥; 恍,1,1,光,6,光; 洸; 絖; 侊; 觥; 恍
03-23,3,23,707,104,no,no,0,,17,13,黃; 璜; 潢; 簧; 廣; 觵; 橫; 壙; 曠; 纊,9,7,黃; 廣; 橫; 壙; 曠; 纊; 擴,13,黃; 璜; 潢; 簧; 廣; 觵; 橫; 壙; 曠; 纊
03-24,3,24,708,104,no,no,0,,14,12,皇; 徨; 偟; 湟; 煌; 篁; 遑; 隍; 餭; 凰,6,5,皇; 徨; 煌; 隍; 蝗,12,皇; 徨; 偟; 湟; 煌; 篁; 遑; 隍; 餭; 凰
03-25,3,25,763,105,no,no,0,,1,1,冏,1,1,囧,2,冏; 囧
03-26,3,26,739,105,no,no,0,,18,13,王; 㞷; 往; 迋; 匡; 狂; 枉; 汪; 尪; 眶,11,9,王; 往; 迋; 匡; 狂; 枉; 汪; 尪; 筐,13,王; 㞷; 往; 迋; 匡; 狂; 枉; 汪; 尪; 眶
03-27,3,27,764,105,no,no,0,,4,4,永; 咏; 詠; 泳,4,4,永; 咏; 詠; 泳,4,永; 咏; 詠; 泳
03-28,3,28,765,105,no,no,0,,5,5,兄; 况; 況; 貺; 軦,2,2,兄; 況,5,兄; 况; 況; 貺; 軦
03-29,3,29,699,105,no,no,0,,6,4,卬; 昂; 仰; 迎,4,3,卬; 仰; 迎,4,卬; 昂; 仰; 迎
03-30,3,30,701,106,no,no,0,,1,1,宕,0,0,,1,宕
03-31,3,31,723,106,no,no,0,,8,7,章; 彰; 樟; 獐; 璋; 鄣; 障,2,2,章; 獐,7,章; 彰; 樟; 獐; 璋; 鄣; 障
03-32,3,32,725,106,no,no,0,,30,25,尚; 攩; 曭; 矘; 裳; 螳; 常; 鏜; 嘗; 瞠,19,17,尚; 攩; 裳; 常; 鏜; 嘗; 瞠; 掌; 惝; 敞,25,尚; 攩; 曭; 矘; 裳; 螳; 常; 鏜; 嘗; 瞠
03-33,3,33,726,107,no,no,0,,2,1,上,3,1,上,1,上
03-34,3,34,724,107,no,no,0,,7,6,昌; 倡; 唱; 猖; 菖; 閶,2,2,倡; 唱,6,昌; 倡; 唱; 猖; 菖; 閶
03-35,3,35,721,107,no,no,0,,14,10,長; 萇; 帳; 張; 粻; 餦; 倀; 悵; 韔; 棖,5,4,長; 帳; 張; 悵,10,長; 萇; 帳; 張; 粻; 餦; 倀; 悵; 韔; 棖
03-36,3,36,722,107,no,no,0,,3,2,丈; 杖,1,1,丈,2,丈; 杖
03-37,3,37,719,107,no,no,0,,1,1,鬯,1,1,鬯,1,鬯
03-38,3,38,720,107,no,no,0,,32,27,昜; 餳; 陽; 愓; 碭; 禓; 暘; 𥛙; 煬; 𥏫,19,16,昜; 餳; 陽; 愓; 碭; 揚; 傷; 觴; 颺; 蕩,27,昜; 餳; 陽; 愓; 碭; 禓; 暘; 𥛙; 煬; 𥏫
