source_page_number,source_line_number,character,pinyin,mc_bs,mc_analyzed,oc_bs,gloss,gsr_raw,normalized_gsr,unicode_utf16
159,23,育,yù,yuwk,(y- + -juwk D),*m-quk,"breed, produce",1020a,1020a,U+80B2
159,25,毓,yù,yuwk,(y- + -juwk D),*m-quk,to produce,1021a,1021a,U+6BD3
159,27,逐,zhú,drjuwk,(dr- + -juwk D),*lriwk {*[l]riwk},pursue,1022a,1022a,U+9010
159,29,牘,dú,duwk,(d- + -uwk D),*ˤok {*lˤok},tablet,1023k,1023k,U+7258
159,31,犢,dú,duwk,(d- + -uwk D),*lˤok,calf,1023l,1023l,U+72A2
159,33,讀,dú,duwk,(d- + -uwk D),*C.lˤok,read (v.),1023m,1023m,U+8B80
159,35,贖,shú,zyowk,(zy- + -jowk D),*Cə.lok,redeem,1023t,1023t,U+8D16
159,37,續,xù,zjowk,(z- + -jowk D),*sə.lok,continue,1023u,1023u,U+7E8C
159,39,藚,xù,zjowk,(z- + -jowk D),*sə.lok,Alisma plantago,1023v,1023v,U+85DA
159,41,粥,zhōu,tsyuwk,(tsy- + -juwk D),*t-quk {*[t-q]uk},gruel,1024a,1024a,U+7CA5
159,43,鬻,yù,yuwk,(y- + -juwk D),*m-quk,nourish,1024b,1024b,U+9B3B
160,1,祝,zhòu,tsyuwH,(tsy- + -juw C),*tuk-s,to curse,1025a,1025a,U+795D
160,3,祝,zhù,tsyuwk,(tsy- + -juwk D),*tuk,"cut off, break",1025a,1025a,U+795D
160,5,祝,zhù,tsyuwk,(tsy- + -juwk D),*tuk,"pray, recite",1025a,1025a,U+795D
160,7,孰,shú,dzyuwk,(dzy- + -juwk D),*duk {*[d]uk},who,1026a,1026a,U+5B70
160,9,熟,shú,dzyuwk,(dzy- + -juwk D),*duk {*[d]uk},"cooked, ripe",1026b,1026b,U+719F
160,11,竈,zào,tsawH,(ts- + -aw C),*tsˤuk-s {*[ts]ˤuk-s},"cooking-place, stove",1027b,1027b,U+7AC8
160,13,肅,sù,sjuwk,(s- + -juwk D),*siwk,contract (v.); shrivel,1028a,1028a,U+8085
160,15,肅,sù,sjuwk,(s- + -juwk D),*siwk,present (v.),1028a,1028a,U+8085
160,17,肅,sù,sjuwk,(s- + -juwk D),*siwk,beat (v.),1028a,1028a,U+8085
160,19,肅,sù,sjuwk,(s- + -juwk D),*siwk,eager; swift,1028a,1028a,U+8085
160,21,繡,xiù,sjuwH,(s- + -juw C),*siw-s {*[s]iw(k)-s},embroider,1028e,1028e,U+7E61
160,23,嘯,xiào,sewH,(s- + -ew C),*sˤiw-s {*sˤiw(k)-s},to wail,1028f,1028f,U+562F
160,25,簫,xiāo,sew,(s- + -ew A),*sˤiw,pan-pipe,1028h,1028h,U+7C2B
160,27,蕭,xiāo,sew,(s- + -ew A),*sˤiw,Artemisia,1028i,1028i,U+856D
160,29,蕭,xiāo,sew,(s- + -ew A),*sˤiw,蕭蕭 neighing of horses,1028i,1028i,U+856D
160,31,宿,xiù,sjuwH,(s- + -juw C),*suk-s {*[s]uk-s},,1029a,1029a,U+5BBF
160,33,宿,sù,sjuwk,(s- + -juwk D),*suk {*[s]uk},spend the night,1029a,1029a,U+5BBF
160,35,夙,sù,sjuwk,(s- + -juwk D),*suk {*[s]uk},early morning,1030a,1030a,U+5919
160,37,尗,shū,syuwk,(sy- + -juwk D),*s.tuk,"pulse, beans",1031a,1031a,U+5C17
160,39,叔,shū,syuwk,(sy- + -juwk D),*s-tiwk,"gather, harvest",1031b,1031b,U+53D4
160,41,叔,shū,syuwk,(sy- + -juwk D),*s-tiwk,3rd of 4 brothers,1031b,1031b,U+53D4
160,43,戚,qī,tshek,(tsh- + -ek D),*s.tʰˤiwk,(in 'toad'),1031f,1031f,U+621A
161,1,戚,qī,tshek,(tsh- + -ek D),*s.tʰˤiwk,relatives,1031f,1031f,U+621A
161,3,戚,qī,tshek,(tsh- + -ek D),*s.tʰˤiwk,kind of battle axe,1031f,1031f,U+621A
161,5,戚,qī,tshek,(tsh- + -ek D),*s.tʰˤiwk,worried; sad; depressed,1031f,1031f,U+621A
161,7,俶,chù,tsyhuwk,(tsyh- + -juwk D),*tʰuk,commence,1031h,1031h,U+4FF6
161,9,淑,shū,dzyuwk,(dzy- + -juwk D),*diwk {*[d]iwk},"fine, good",1031jt,1031jt,U+6DD1
161,11,寂,jì,dzek,(dz- + -ek D),*s-dˤiwk {*s-[d]ˤiwk},quiet#,1031l,1031l,U+5BC2
161,13,椒,jiāo,tsew,(ts- + -ew A),*s.tˤiw,pepper plant,1031q,1031q,U+6912
161,15,椒,jiāo,tsjew,(ts- + -jew A),*S.tew,pepper plant,1031q,1031q,U+6912
161,17,慼,qī,tshek,(tsh- + -ek D),*s-tʰˤiwk,anxiously thoughtful,1031x,1031x,U+617C
161,19,鏚,qī,tshek,(tsh- + -ek D),*s.tʰˤiwk,axe,1031y,1031y,U+93DA
161,21,六,liù,ljuwk,(l- + -juwk D),*k.ruk,six,1032a,1032a,U+516D
161,23,陸,lù,ljuwk,(l- + -juwk D),*ruk {*[r]uk},land (as opposed to water),1032f,1032f,U+9678
161,25,睦,mù,mjuwk,(m- + -juwk D),*mruk,concord,1032i,1032i,U+7766
161,27,肉,ròu,nyuwk,(ny- + -juwk D),*k.nuk,"meat, flesh",1033a,1033a,U+8089
161,29,复,fù,bjuwk,(b- + -juwk D),*m-puk {*m-p(r)uk},return,1034a,1034a,U+590D
161,31,復,fù,bjuwH,(b- + -juw C),*N-pruk-s {*[N]-pruk-s},again,1034d,1034d,U+5FA9
161,33,復,fù,bjuwk,(b- + -juwk D),*m-puk {*m-p(r)uk},return,1034d,1034d,U+5FA9
161,35,輹,fù,bjuwk,(b- + -juwk D),*m-puk {*m-p(r)uk},support under box of carriage,1034g,1034g,U+8F39
161,37,腹,fù,pjuwk,(p- + -juwk D),*puk {*p(r)uk},belly,1034h,1034h,U+8179
161,39,複,fù,pjuwk,(p- + -juwk D),*pruk {*p(r)uk},"double, lined (garment)",1034i,1034i,U+8907
161,41,覆,fù,phjuwk,(ph- + -juwk D),*pʰuk {*pʰ(r)uk},turn over,1034m,1034m,U+8986
161,43,穆,mù,mjuwk,(m- + -juwk D),*miwk {*m(r)iwk},harmonious,1035a,1035a,U+7A46
162,1,目,mù,mjuwk,(m- + -juwk D),*C.muk {*C.m(r)[u]k},eye,1036a,1036a,U+76EE
162,3,牧,mù,mjuwk,(m- + -juwk D),*mək,"to herd, herdsman",1037a,1037a,U+7267
162,5,學,xué,haewk,(h- + -aewk D),*m-kˤruk,study; imitate,1038a,1038a,U+5B78
162,7,覺,jiào,kaewH,(k- + -aew C),*kˤruk-s,awake (v.),1038f,1038f,U+89BA
162,9,覺,jué,kaewk,(k- + -aewk D),*kˤruk,awake,1038f,1038f,U+89BA
162,11,鷽,xué,'aewk,('- + -aewk D),*qˤruk,a kind of bird,1038h,1038h,U+9DFD
162,13,鷽,xué,haewk,(h- + -aewk D),*m-qˤruk,spec. of bird,1038h,1038h,U+9DFD
162,15,攪,jiǎo,kaewX,(k- + -aew B),*kˤruʔ,disturb,1038i,1038i,U+652A
162,17,告,gào,kawH,(k- + -aw C),*kˤuk-s,"announce, inform",1039a,1039a,U+544A
162,19,告,gào,kowk,(k- + -owk D),*kˤuk,"announce, inform",1039a,1039a,U+544A
162,21,誥,gào,kawH,(k- + -aw C),*kˤuk-s,"announce, inform",1039e,1039e,U+8AA5
162,23,郜,gào,kowk,(k- + -owk D),*kˤuk,(place name),1039f,1039f,U+90DC
162,25,浩,hào,hawX,(h- + -aw B),*gˤuʔ {*[g]ˤuʔ},vast,1039j,1039j,U+6D69
162,27,酷,kù,khowk,(kh- + -owk D),*kʰˤuk,cruel,1039m,1039m,U+9177
162,29,皋,gāo,kaw,(k- + -aw A),*kˤu {*[k]ˤu},announce,1040b,1040b,U+768B
162,31,巧,qiǎo,khaewX,(kh- + -aew B),*kʰˤruʔ {*[kʰ]ˤruʔ},artful,1041l,1041l,U+5DE7
162,33,朽,xiǔ,xjuwX,(x- + -juw B),*qʰuʔ {*qʰ(r)uʔ},"rot, decay",1041m,1041m,U+673D
162,35,號,háo,haw,(h- + -aw A),*C.gˤaw {*[C.g]ˤaw},call out,1041q,1041q,U+865F
162,37,號,háo,hawH,(h- + -aw C),*Cə.gaw-s {*Cə.[g]ˤaw-s},"command, call (n.)",1041q,1041q,U+865F
162,39,鴞,xiāo,hjew,(h- + -jew A),*ɢʷaw {*[ɢ]ʷ(r)aw},owl,1041t,1041t,U+9D1E
162,41,好,hào,xawH,(x- + -aw C),*qʰˤuʔ-s,"love, like (v.)",1044a,1044a,U+597D
162,43,好,hǎo,xawX,(x- + -aw B),*qʰˤuʔ,good,1044a,1044a,U+597D
163,1,奧,ào,'awH,('- + -aw C),*ʔˤuk-s,southwest corner of a house,1045a,1045a,U+5967
163,3,奧,yù,'juwk,('- + -juwk D),*ʔuk {*ʔ(r)uk},cove in the bank of a stream,1045a,1045a,U+5967
163,5,澳,ào,'awH,('- + -aw C),*ʔˤuk-s,"bay, cove",1045b,1045b,U+6FB3
163,7,薁,yù,'juwk,('- + -juwk D),*ʔuk {*ʔ(r)uk},wild vine,1045e,1045e,U+8581
163,9,匋,táo,daw,(d- + -aw A),*lˤu {*[l]ˤu},kiln; pottery,1047a,1047a,U+530B
163,11,道,dǎo,dawH,(d- + -aw C),*lˤuʔ-s,show the way,1048a,1048a,U+9053
163,13,道,dào,dawX,(d- + -aw B),*kə.lˤuʔ {*[kə.l]ˤuʔ},way,1048a,1048a,U+9053
163,15,導,dǎo,dawH,(d- + -aw C),*lˤuʔ-s,to lead,1048d,1048d,U+5C0E
163,17,早,zǎo,tsawX,(ts- + -aw B),*Nə.tsˤuʔ {*Nə.[ts]ˤuʔ},early,1049a,1049a,U+65E9
163,19,草,cǎo,tshawX,(tsh- + -aw B),*tsʰˤuʔ {*[tsʰ]ˤuʔ},"grass, plants",1049b,1049b,U+8349
163,21,棗,zǎo,tsawX,(ts- + -aw B),*tsˤuʔ {*[ts]ˤuʔ},jujube,1050a,1050a,U+68D7
163,23,造,zào,dzawX,(dz- + -aw B),*Cə.dzˤuʔ,make,1051a,1051a,U+9020
163,25,造,zào,tshawH,(tsh- + -aw C),*tsʰˤuʔ-s {*(mə-)tsʰˤuʔ-s},go to,1051a,1051a,U+9020
163,27,曹,cáo,dzaw,(dz- + -aw A),*N-tsˤu,come together; pair,1053a,1053a,U+66F9
163,29,糟,zāo,tsaw,(ts- + -aw A),*tsˤu {*[ts]ˤu},dregs,1053g,1053g,U+7CDF
163,31,遭,zāo,tsaw,(ts- + -aw A),*tsˤu,encounter (v.),1053h,1053h,U+906D
163,33,皁,zào,dzawX,(dz- + -aw B),*dzˤuʔ {*[dz]ˤuʔ},"acorn, black-dyeing fruit",1054b,1054b,U+7681
163,35,老,lǎo,lawX,(l- + -aw B),*C-rˤuʔ,old,1055a,1055a,U+8001
163,37,保,bǎo,pawX,(p- + -aw B),*pˤuʔ,protect,1057a,1057a,U+4FDD
163,39,褒,bāo,paw,(p- + -aw A),*pˤu,praise (v.),1057h,1057h,U+8912
163,41,報,bào,pawH,(p- + -aw C),*pˤuk-s,repay,1058a,1058a,U+5831
163,43,寶,bǎo,pawX,(p- + -aw B),*pˤuʔ,precious thing,1059a,1059a,U+5BF6
164,1,帽,mào,mawH,(m- + -aw C),*mˤuk-s,hat,1062,1062,U+5E3D
164,3,冒,mào,mawH,(m- + -aw C),*mˤuk-s,to look down on; covetous,1062a,1062a,U+5192
164,5,冒,mào,mawH,(m- + -aw C),*mˤuk-s,covering,1062a,1062a,U+5192
164,7,媢,mào,mawH,(m- + -aw C),*mˤuk-s,jealous,1062c,1062c,U+5AA2
164,9,牡,mǔ,muwX,(m- + -uw B),*muʔ,male,1063a,1063a,U+7261
164,11,丩,jiū,kjiw,(k- + -jiw A),*kriw,to twist,1064a,1064a,U+4E29
164,13,糾,jiū,kjiwX,(k- + -jiw B),*k<r>iwʔ,"plait, unite",1064b,1064b,U+7CFE
164,15,叫,jiào,kewH,(k- + -ew C),*kˤewk-s,shout,1064g,1064g,U+53EB
164,17,韭,jiǔ,kjuwX,(k- + -juw B),*s.kuʔ {*s.[k](r)uʔ},Allium,1065a,1065a,U+97ED
164,19,求,qiú,gjuw,(g- + -juw A),*gu {*[g](r)u},seek,1066a,1066a,U+6C42
164,21,裘,qiú,gjuw,(g- + -juw A),*gʷə {*[g]ʷə},fur garment,1066e,1066e,U+88D8
164,23,球,qiú,gjuw,(g- + -juw A),*Cə.gu {*Cə.[g](r)[u]},'ball'?,1066f,1066f,U+7403
164,25,逑,qiú,gjuw,(g- + -juw A),*gu {*g(r)u},come together; mate (n.),1066k,1066k,U+9011
164,27,救,jiù,kjuwH,(k- + -juw C),*s.ku-s {*s.k(r)u-s},"help, save",1066m,1066m,U+6551
164,29,臼,jiù,gjuwX,(g- + -juw B),*C.gʷəʔ {*C.[g]ʷ(r)əʔ},mortar,1067a,1067a,U+81FC
164,31,舅,jiù,gjuwX,(g- + -juw B),*guʔ {*[g](r)uʔ},MoBr,1067b,1067b,U+8205
164,33,舊,jiù,gjuwH,(g- + -juw C),*N-kʷəʔ-s,old,1067c,1067c,U+820A
164,35,咎,jiù,gjuwX,(g- + -juw B),*guʔ {*[g](r)uʔ},"fault, blame (n.)",1068a,1068a,U+548E
164,37,鼛,gāo,kaw,(k- + -aw A),*kˤu {*[k]ˤu},big drum,1068e,1068e,U+9F1B
164,39,翏,liù,ljuwH,(l- + -juw C),*riw-s {*[r]iw-s},whistling of the wind,1069a,1069a,U+7FCF
164,41,摎,jiū,kjiw,(k- + -jiw A),*k-riw (dial. > kriw),"tie around, strangle",1069g,1069g,U+644E
164,43,摎,liú,ljuw,(l- + -juw A),*k-riw,"tie around, strangle",1069g,1069g,U+644E
165,1,樛,jiū,kjiw,(k- + -jiw A),*k-riw (dial. > kriw),down-curving (sc. branch),1069h,1069h,U+6A1B
165,3,樛,jiū,kjiw,(k- + -jiw A),*k-riw (dial. > kriw),twist (v.),1069h,1069h,U+6A1B
165,5,瘳,chōu,trhjuw,(trh- + -juw A),*r̥iw,recover,1069k,1069k,U+7633
165,7,謬,miù,mjiwH,(m- + -jiw C),*mə-riw-s (dial. > *mriw-s),"lie, error < 'twist the truth'",1069m,1069m,U+8B2C
165,9,膠,jiāo,kaew,(k- + -aew A),*kˤriw {*[k]ˤriw},glue,1069s,1069s,U+81A0
165,11,膠,jiǎo,kaewX,(k- + -aew B),*kˤriwʔ {*[k]ˤriwʔ},glue,1069s,1069s,U+81A0
165,13,戮,lù,ljuwk,(l- + -juwk D),*riwk {*[r]iwk},kill,1069v,1069v,U+622E
165,15,休,xiū,xjuw,(x- + -juw A),*qʰu {*qʰ(r)u},blessing,1070a,1070a,U+4F11
165,17,優,yōu,'juw,('- + -juw A),*ʔu {*ʔ(r)u},entertainer; liberal,1071d,1071d,U+512A
165,19,紂,zhòu,drjuwX,(dr- + -juw B),*druʔ {*[d]ruʔ},,1073,1073,U+7D02
165,21,肘,zhǒu,trjuwX,(tr- + -juw B),*t-k<r>uʔ,elbow,1073a,1073a,U+8098
165,23,疛,zhǒu,trjuwX,(tr- + -juw B),*truʔ {*[t]ruʔ},pain in the intestines,1073b,1073b,U+759B
165,25,酎,zhòu,drjuwX,(dr- + -juw B),*druʔ {*[d]ruʔ},,1073c,1073c,U+914E
165,27,討,tǎo,thawX,(th- + -aw B),*tʰˤuʔ,examine; denounce,1073d,1073d,U+8A0E
165,29,丑,chǒu,trhjuwX,(trh- + -juw B),*n̥ruʔ {*[n̥]ruʔ},2d earthly branch,1076a,1076a,U+4E11
165,31,狃,niǔ,nrjuwX,(nr- + -juw B),*Cə.n<r>uʔ,animal tracks,1076f,1076f,U+72C3
165,33,紐,niǔ,nrjuwX,(nr- + -juw B),*n<r>uʔ,fastener,1076g,1076g,U+7D10
165,35,羞,xiū,sjuw,(s- + -juw A),*s-nu,shame,1076h,1076h,U+7F9E
165,37,攸,yōu,yuw,(y- + -juw A),*liw,place where,1077a,1077a,U+6538
165,39,悠,yōu,yuw,(y- + -juw A),*liw,long-brooding,1077c,1077c,U+60A0
165,41,修,xiū,sjuw,(s- + -juw A),*s-liw,adorn,1077d,1077d,U+4FEE
166,1,脩,xiū,sjuw,(s- + -juw A),*s-liw,dried meat,1077e,1077e,U+8129
166,3,條,tiáo,dew,(d- + -ew A),*lˤiw {*[l]ˤiw},arrange,1077f,1077f,U+689D
166,5,條,tiáo,dew,(d- + -ew A),*lˤiw,"branch (n.), shoot (n.)",1077f,1077f,U+689D
166,7,倏,shū,dzyuwk,(dzy- + -juwk D),*Cə.liwk,"rapid, sudden",1077p,1077p,U+500F
166,9,滌,dí,dek,(d- + -ek D),*lˤiwk,"wash, clean (v.)",1077x,1077x,U+6ECC
166,11,滔,tāo,thaw,(th- + -aw A),*l̥ˤu,rushing water,1078d,1078d,U+6ED4
166,13,稻,dào,dawX,(d- + -aw B),*lˤuʔ {*[l]ˤuʔ},"rice, paddy",1078h,1078h,U+7A3B
166,15,由,yóu,yuw,(y- + -juw A),*lu {*l[u]},follow; from,1079a,1079a,U+7531
166,17,抽,chōu,trhjuw,(trh- + -juw A),*l̥ru,"take out, pull out",1079f,1079f,U+62BD
166,19,冑,zhòu,drjuwH,(dr- + -juw C),*lru-s {*[l]ru-s},helmet,1079i,1079i,U+5191
166,21,袖,xiù,zjuwH,(z- + -juw C),*sə.lu-s,sleeve,1079m,1079m,U+8896
166,23,軸,zhóu,drjuwk,(dr- + -juwk D),*lruk,wheel-axle,1079p,1079p,U+8EF8
166,25,游,yóu,yuw,(y- + -juw A),*N-ru {*[N-]ru},"float, swim",1080f,1080f,U+6E38
166,27,遊,yóu,yuw,(y- + -juw A),*ɢu {*[ɢ](r)u},wander about,1080g,1080g,U+904A
166,29,牖,yǒu,yuwX,(y- + -juw B),*luʔ {*[l]uʔ},window,1082a,1082a,U+7256
166,31,周,zhōu,tsyuw,(tsy- + -juw A),*tiw,Zhōu (dynasty and place),1083a,1083a,U+5468
166,33,周,zhōu,tsyuw,(tsy- + -juw A),*tiw,cycle; all around,1083a,1083a,U+5468
166,35,稠,chóu,drjuw,(dr- + -juw A),*driw {*[d]riw},"dense, thick",1083l,1083l,U+7A20
166,37,綢,chóu,drjuw,(dr- + -juw A),*driw {*[d]riw},bind round,1083m,1083m,U+7DA2
166,39,凋,diāo,tew,(t- + -ew A),*tˤiw,wither (v.),1083o,1083o,U+51CB
166,41,彫,diāo,tew,(t- + -ew A),*tˤiw,"engrave, carve",1083r,1083r,U+5F6B
166,43,雕,diāo,tew,(t- + -ew A),*tˤiw,bird of prey,1083t,1083t,U+96D5
167,1,調,tiáo,dew,(d- + -ew A),*dˤiw {*[d]ˤiw},"tune (v.), adjust",1083x,1083x,U+8ABF
167,3,舟,zhōu,tsyuw,(tsy- + -juw A),*tu,boat,1084a,1084a,U+821F
167,5,受,shòu,dzyuwX,(dzy- + -juw B),*duʔ {*[d]uʔ},receive,1085a,1085a,U+53D7
167,7,授,shòu,dzyuwH,(dzy- + -juw C),*duʔ-s {*[d]uʔ-s},give; hand over,1085d,1085d,U+6388
167,9,州,zhōu,tsyuw,(tsy- + -juw A),*tu,islet in stream; province,1086a,1086a,U+5DDE
167,11,洲,zhōu,tsyuw,(tsy- + -juw A),*tu,islet,1086d,1086d,U+6D32
167,13,帚,zhǒu,tsyuwX,(tsy- + -juw B),*t.pəʔ {*[t.p]əʔ},broom,1087a,1087a,U+5E1A
167,15,臭,chòu,tsyhuwH,(tsyh- + -juw C),*t-qʰu-s {*t-qʰu(ʔ)-s},"odor, to stink (intransitive)?",1088a,1088a,U+81ED
167,17,臭,chòu,xjuwH,(x- + -juw C),*qʰu-s {*[qʰ]u(ʔ)-s},"odor, to stink (intransitive)?",1088a,1088a,U+81ED
167,19,臭,chòu,xjuwH,(x- + -juw C),*qʰu-s {*[qʰ]u(ʔ)-s},"odor, to stink (intransitive)?",1088a,1088a,U+81ED
167,21,嗅,xiù,xjuwH,(x- + -juw C),*qʰu-s {*qʰu(ʔ)-s},to smell (tr.),1088c,1088c,U+55C5
167,23,醜,chǒu,tsyhuwX,(tsyh- + -juw B),*t.qʰuʔ,ugly; evil,1089a,1089a,U+919C
167,25,醜,chǒu,tsyhuwX,(tsyh- + -juw B),*t.qʰuʔ,category,1089a,1089a,U+919C
167,27,鑄,zhù,tsyuH,(tsy- + -ju C),*tu-s F!,to cast (a bronze vessel),1090a',1090a',U+9444
167,29,壽,shòu,dzyuwH,(dzy- + -juw C),*duʔ-s {*[d]uʔ-s},longevity,1090g,1090g,U+58FD
167,31,壽,shòu,dzyuwX,(dzy- + -juw B),*N-tuʔ {*[N-t]uʔ},longevity,1090g,1090g,U+58FD
167,33,疇,chóu,drjuw,(dr- + -juw A),*dru {*[d]ru},"in the past, yesterday",1090l,1090l,U+7587
167,35,疇,chóu,drjuw,(dr- + -juw A),*dru {*[d]ru},plowed field,1090l,1090l,U+7587
167,37,讎,chóu,dzyuw,(dzy- + -juw A),*du {*[d]u},pay back; enemy,1091a,1091a,U+8B8E
167,39,秋,qiū,tshjuw,(tsh- + -juw A),*tsʰiw,autumn; crop,1092a,1092a,U+79CB
167,41,愁,chóu,dzrjuw,(dzr- + -juw A),*dzriw {*[dz]riw},grieved,1092i,1092i,U+6101
167,43,就,jiù,dzjuwH,(dz- + -juw C),*dzuk-s {*[dz]u[k]-s},go to,1093a,1093a,U+5C31
168,1,囚,qiú,zjuw,(z- + -juw A),*sə.lu,prisoner,1094a,1094a,U+56DA
168,3,泅,qiú,zjuw,(z- + -juw A),*s-N.ru {*[s-N].ru},swim,1094c,1094c,U+6CC5
168,5,秀,xiù,sjuwH,(s- + -juw C),*s-lu-s {*[s-l]u(ʔ)-s},to flower,1095a,1095a,U+79C0
168,7,莠,yǒu,yuwX,(y- + -juw B),*luʔ {*[l]uʔ},weeds,1095d,1095d,U+83A0
168,9,酉,yǒu,yuwX,(y- + -juw B),*m.ruʔ {*[m].ruʔ},10th earthly branch,1096a,1096a,U+9149
168,11,酉,yǒu,yuwX,(y- + -juw B),*m.ruʔ,wine,1096a,1096a,U+9149
168,13,酒,jiǔ,tsjuwX,(ts- + -juw B),*tsuʔ,wine,1096k,1096k,U+9152
168,15,酋,qiú,dzjuw,(dz- + -juw A),*m-tsu,wine-master,1096l,1096l,U+914B
168,17,蝤,qiú,dzjuw,(dz- + -juw A),*dzu {*[dz]u},tree-grub,1096n,1096n,U+8764
168,19,遒,qiú,tsjuw,(ts- + -juw A),*tsu,"collect, bring together",1096o,1096o,U+9052
168,21,緧,qiū,tshjuw,(tsh- + -juw A),*tsʰu {*[tsʰ]u},crupper,1096p,1096p,U+7DE7
168,23,猶,yóu,yuw,(y- + -juw A),*ɢu {*[ɢ(r)]u},"still, yet",1096r,1096r,U+7336
168,25,猶,yóu,yuw,(y- + -juw A),*ɢu {*[ɢ(r)]u},similar,1096r,1096r,U+7336
168,27,叟,sǒu,suwX,(s- + -uw B),*s.ruʔ (dial. > *sruʔ > srjuwX > sruwX > suwX),old man,1097a,1097a,U+53DF
168,29,守,shòu,syuwH,(sy- + -juw C),*s.tuʔ-s,"territory in somebody's guard, fief",1099a,1099a,U+5B88
168,31,守,shǒu,syuwX,(sy- + -juw B),*s-tuʔ,"keep, guard",1099a,1099a,U+5B88
168,33,狩,shòu,syuwH,(sy- + -juw C),*s.tuʔ-s,to hunt,1099c,1099c,U+72E9
168,35,獸,shòu,syuwH,(sy- + -juw C),*s.tu-s {*s.tu(ʔ)-s},(wild) animal,1100a,1100a,U+7378
168,37,手,shǒu,syuwX,(sy- + -juw B),*n̥uʔ,hand,1101a,1101a,U+624B
168,39,首,shǒu,syuwH,(sy- + -juw C),*l̥uʔ-s,turn the head towards,1102a,1102a,U+9996
168,41,首,shǒu,syuwX,(sy- + -juw B),*l̥uʔ,head,1102a,1102a,U+9996
168,43,收,shōu,syuw,(sy- + -juw A),*s-kiw,collect; harvest,1103a,1103a,U+6536
169,1,流,liú,ljuw,(l- + -juw A),*ru {*[r]u},flow (v.),1104a,1104a,U+6D41
169,3,柔,róu,nyuw,(ny- + -juw A),*nu,soft,1105a,1105a,U+67D4
169,5,猱,náo,naw,(n- + -aw A),*nˤu,a kind of monkey,1105g,1105g,U+7331
169,7,缶,fǒu,pjuwX,(p- + -juw B),*puʔ {*p(r)uʔ},earthenware,1107a,1107a,U+7F36
169,9,阜,fù,bjuwX,(b- + -juw B),*buʔ {*[b](r)uʔ},big mound,1108a,1108a,U+961C
169,11,矛,máo,mjuw,(m- + -juw A),*mu {*m(r)u},a kind of lance,1109a,1109a,U+77DB
169,13,茅,máo,maew,(m- + -aew A),*C.mˤru,kind of grass; 'thatch',1109c,1109c,U+8305
169,15,務,wù,mjuH,(m- + -ju C),*mo-s {*m(r)o-s},exert oneself,1109j,1109j,U+52D9
169,17,瞀,mào,maewk,(m- + -aewk D),*mˤ<r>uk,troubled eyesight,1109q,1109q,U+7780
169,19,霧,wù,mjuH,(m- + -ju C),*kə.mok-s {*kə.m(r)[o]k-s},"fog, mist",1109t,1109t,U+9727
169,21,爪,zhǎo,tsraewX,(tsr- + -aew B),*[ts]ˤruʔ,claw,1111a,1111a,U+722A
169,23,抓,zhuā,tsraew,(tsr- + -aew A),*tsru {*[ts](ˤ)ru},grasp,1111c,1111c,U+6293
169,25,蚤,zǎo,tsawX,(ts- + -aw B),*kə.tsˤuʔ {*kə.[ts]ˤuʔ},flea,1112d,1112d,U+86A4
169,27,搔,sāo,saw,(s- + -aw A),*sˤu,scratch (v.),1112f,1112f,U+6414
169,29,騷,sāo,saw,(s- + -aw A),*sˤu {*[s]ˤu},disturb,1112g,1112g,U+9A37
169,31,包,bāo,paew,(p- + -aew A),*pˤ<r>u,"wrap, bundle",1113a,1113a,U+5305
169,33,胞,bāo,paew,(p- + -aew A),*pˤ<r>u,womb,1113b,1113b,U+80DE
169,35,苞,bāo,paew,(p- + -aew A),*pˤ<r>u,reed mat for wrapping,1113c,1113c,U+82DE
169,37,匏,páo,baew,(b- + -aew A),*bˤru {*(Cə.)[b]ˤru},gourd,1113f,1113f,U+530F
169,39,袍,páo,baw,(b- + -aw A),*m.pˤu {*[m.p]ˤu},long robe,1113i,1113i,U+888D
169,41,抱,bào,bawX,(b- + -aw B),*m-pˤuʔ,carry in the arms,1113j,1113j,U+62B1
169,43,枹,fú,bjuw,(b- + -juw A),*bu {*[b](r)u},drum stick,1113k,1113k,U+67B9
170,1,雹,báo,baewk,(b- + -aewk D),*C.bˤruk {*C.[b]ˤruk},hail,1113n,1113n,U+96F9
170,3,卯,mǎo,maewX,(m- + -aew B),*mˤruʔ,4th earthly branch,1114a,1114a,U+536F
170,5,劉,liú,ljuw,(l- + -juw A),*mə-ru,kill,1114a',1114a',U+5289
170,7,茆,mǎo,maewX,(m- + -aew B),*mˤruʔ,Brasenia,1114f,1114f,U+8306
170,9,昴,mǎo,maewX,(m- + -aew B),*mˤruʔ,Pleiades,1114g,1114g,U+6634
170,11,柳,liǔ,ljuwX,(l- + -juw B),*ruʔ {*([m]ə.)ruʔ},willow,1114l,1114l,U+67F3
170,13,留,liú,ljuw,(l- + -juw A),*C.ru,"stay, remain",1114p,1114p,U+7559
170,15,聊,liáo,lew,(l- + -ew A),*rˤiw {*[r]ˤiw},rely on,1114u,1114u,U+804A
170,17,幺,yāo,'ew,('- + -ew A),*ʔˤiw {*ʔˤ[i]w},small,1115a,1115a,U+5E7A
170,19,幽,yōu,'jiw,('- + -jiw A),*ʔiw {*[ʔ](r)iw},dark; secluded,1115c,1115c,U+5E7D
