source_page_number,source_line_number,character,pinyin,mc_bs,mc_analyzed,oc_bs,gloss,gsr_raw,normalized_gsr,unicode_utf16
11,13,瓜,guā,kwae,(kw- + -ae A),*kʷˤra,"melon, gourd",0041a,0041a,U+74DC
11,15,呱,gū,ku,(k- + -u A),*kʷˤa,wail,0041b,0041b,U+5471
11,17,孤,gū,ku,(k- + -u A),*kʷˤa,orphan,0041c,0041c,U+5B64
11,19,罛,gū,ku,(k- + -u A),*kʷˤa,net,0041d,0041d,U+7F5B
11,21,狐,hú,hu,(h- + -u A),*gʷˤa {*[g]ʷˤa},fox,0041i,0041i,U+72D0
11,23,寡,guǎ,kwaeX,(k- + -wae B),*C.kʷˤraʔ {*[C.k]ʷˤraʔ},few,0042a,0042a,U+5BE1
11,25,夸,kuā,khwae,(kh- + -wae A),*kʷʰˤra {*[kʷʰ]ˤra},boast,0043a,0043a,U+5938
11,27,誇,kuā,khwae,(kh- + -wae A),*kʷʰˤra {*[kʷʰ]ˤra},boast,0043b,0043b,U+8A87
11,29,荂,huā,xju,(x- + -ju A),*qʷʰa {*qʷʰ(r)a},flower,0043e,0043e,U+8342
11,31,洿,wū,'u,('- + -u A),*qʷˤa,impure,0043k,0043k,U+6D3F
11,33,花,huā,xwae,(x- + -wae A),*qʷʰˤra,flower (n.),-44,-44,U+82B1
11,35,華,huá,hwae,(h- + -wae A),*N-qʷʰˤra,flower (v.); flowery (adj.),0044a,0044a,U+83EF
11,37,華,huà,hwaeH,(h- + -wae C),*ɢʷˤra-s {*[ɢ]ʷˤra-s},[name of a mountain],0044a,0044a,U+83EF
11,39,華,huā,xwae,(x- + -wae A),*qʷʰˤra,flower (n.),0044a,0044a,U+83EF
11,41,譁,huá,xwae,(x- + -wae A),*qʷʰˤra,shout,0044d,0044d,U+8B41
11,43,賭,dǔ,tuX,(t- + -u B),*mə.tˤaʔ,wager,-45,-45,U+8CED
12,1,者,zhě,tsyaeX,(tsy- + -jae B),*taʔ {*tAʔ},[nominalizing particle],0045a,0045a,U+8005
12,3,睹,dǔ,tuX,(t- + -u B),*tˤaʔ,see,0045c',0045c',U+7779
12,5,奢,shē,syae,(sy- + -jae A),*s.tʰa {*s.tʰA},extravagant,0045e,0045e,U+5962
12,7,都,dū,tu,(t- + -u A),*tˤa,capital city,0045e',0045e',U+90FD
12,9,褚,zhǔ,trjoX,(tr- + -jo B),*traʔ,"to store, to heap",0045g,0045g,U+891A
12,11,豬,zhū,trjo,(tr- + -jo A),*tra,pig,0045h,0045h,U+8C6C
12,13,屠,tú,du,(d- + -u A),*dˤa {*[d]ˤa},butcher (v.),0045i',0045i',U+5C60
12,15,瘏,tú,du,(d- + -u A),*dˤa {*[d]ˤa},"fatigued, disabled",0045j',0045j',U+760F
12,17,渚,zhǔ,tsyoX,(tsy- + -jo B),*taʔ,islet,0045k,0045k,U+6E1A
12,19,煑,zhǔ,tsyoX,(tsy- + -jo B),*taʔ,"boil, cook",0045l,0045l,U+7151
12,21,煮,zhǔ,tsyoX,(tsy- + -jo B),*taʔ {*(C.)taʔ},"boil, cook",0045m,0045m,U+716E
12,23,䰞,zhǔ,tsyoX,(tsy- + -jo B),*taʔ,"boil, cook",0045n,0045n,U+4C1E
